Filename                                                                    Filesize 
----------------------------------------------------------------------------------------
DestinyInventoryItemDefinition.json                                        130,316.84 KB
DestinyInventoryItemLiteDefinition.json                                    44,511.63 KB
DestinyVendorDefinition.json                                               18,540.75 KB
DestinyRecordDefinition.json                                               8,890.74 KB
DestinyUnlockDefinition.json                                               8,047.08 KB
DestinyObjectiveDefinition.json                                            6,746.90 KB
DestinyActivityDefinition.json                                             6,317.93 KB
DestinyCollectibleDefinition.json                                          6,073.41 KB
DestinyPlugSetDefinition.json                                              5,828.01 KB
DestinyLoreDefinition.json                                                 5,453.08 KB
DestinyArtDyeReferenceDefinition.json                                      3,049.62 KB
DestinyPresentationNodeDefinition.json                                     2,571.64 KB
DestinySandboxPerkDefinition.json                                          2,023.56 KB
DestinyUnlockValueDefinition.json                                          1,684.63 KB
DestinyUnlockExpressionMappingDefinition.json                              1,219.59 KB
DestinySandboxPatternDefinition.json                                       1,058.44 KB
DestinyRewardMappingDefinition.json                                        1,052.56 KB
DestinyProgressionDefinition.json                                          861.99 KB
DestinySocketTypeDefinition.json                                           784.38 KB
DestinyLocationDefinition.json                                             601.59 KB
DestinyFireteamFinderActivitySetDefinition.json                            441.60 KB
DestinyRewardSheetDefinition.json                                          327.23 KB
DestinyMilestoneDefinition.json                                            295.20 KB
DestinyRewardItemListDefinition.json                                       282.66 KB
DestinyMetricDefinition.json                                               279.49 KB
DestinyActivityModifierDefinition.json                                     185.47 KB
DestinySackRewardItemListDefinition.json                                   181.90 KB
DestinyStatGroupDefinition.json                                            158.02 KB
DestinyFireteamFinderActivityGraphDefinition.json                          150.96 KB
DestinyUnlockEventDefinition.json                                          143.85 KB
DestinyDestinationDefinition.json                                          132.60 KB
DestinyMaterialRequirementSetDefinition.json                               111.04 KB
DestinyActivityGraphDefinition.json                                        96.62 KB
DestinyEntitlementOfferDefinition.json                                     86.48 KB
DestinyCharacterCustomizationOptionDefinition.json                         84.52 KB
DestinyTraitDefinition.json                                                68.76 KB
DestinyItemCategoryDefinition.json                                         65.29 KB
DestinyChecklistDefinition.json                                            64.79 KB
DestinyFireteamFinderLabelDefinition.json                                  47.62 KB
DestinyActivityModeDefinition.json                                         43.06 KB
DestinyAchievementDefinition.json                                          39.80 KB
DestinyFactionDefinition.json                                              38.27 KB
DestinySeasonDefinition.json                                               28.50 KB
DestinyStatDefinition.json                                                 26.47 KB
DestinyActivityTypeDefinition.json                                         21.51 KB
DestinySocketCategoryDefinition.json                                       17.26 KB
DestinyInventoryBucketDefinition.json                                      17.00 KB
DestinyActivityInteractableDefinition.json                                 17.00 KB
DestinyPlaceDefinition.json                                                14.35 KB
DestinySocialCommendationDefinition.json                                   12.87 KB
DestinyFireteamFinderConstantsDefinition.json                              10.29 KB
DestinyFireteamFinderOptionDefinition.json                                 9.67 KB
DestinyProgressionMappingDefinition.json                                   6.74 KB
DestinyGuardianRankDefinition.json                                         6.70 KB
DestinyEquipmentSlotDefinition.json                                        6.49 KB
DestinyCharacterCustomizationCategoryDefinition.json                       5.79 KB
DestinyEventCardDefinition.json                                            5.61 KB
DestinyReportReasonCategoryDefinition.json                                 5.60 KB
DestinyProgressionLevelRequirementDefinition.json                          5.16 KB
DestinySeasonPassDefinition.json                                           3.92 KB
DestinyLoadoutColorDefinition.json                                         3.69 KB
DestinyLoadoutIconDefinition.json                                          3.48 KB
DestinyArtifactDefinition.json                                             3.13 KB
DestinyDamageTypeDefinition.json                                           2.94 KB
DestinySocialCommendationNodeDefinition.json                               2.45 KB
DestinyRewardAdjusterPointerDefinition.json                                2.42 KB
DestinyGuardianRankConstantsDefinition.json                                2.34 KB
DestinyLoadoutNameDefinition.json                                          2.10 KB
DestinyEnergyTypeDefinition.json                                           1.89 KB
DestinyArtDyeChannelDefinition.json                                        1.88 KB
DestinyPowerCapDefinition.json                                             1.67 KB
DestinyFireteamFinderLabelGroupDefinition.json                             1.62 KB
DestinyItemTierTypeDefinition.json                                         1.61 KB
DestinyLoadoutConstantsDefinition.json                                     1.53 KB
DestinyFireteamFinderOptionGroupDefinition.json                            1.49 KB
DestinyUnlockCountMappingDefinition.json                                   1.40 KB
DestinyGlobalConstantsDefinition.json                                      1.29 KB
DestinyRaceDefinition.json                                                 1.08 KB
DestinyBreakerTypeDefinition.json                                          1.07 KB
DestinyVendorGroupDefinition.json                                          0.95 KB
DestinyClassDefinition.json                                                0.85 KB
DestinyPlatformBucketMappingDefinition.json                                0.80 KB
DestinyBondDefinition.json                                                 0.78 KB
DestinyMedalTierDefinition.json                                            0.77 KB
DestinyGenderDefinition.json                                               0.34 KB
DestinyRewardAdjusterProgressionMapDefinition.json                         0.10 KB
DestinyRewardSourceDefinition.json                                         0.00 KB
----------------------------------------------------------------------------------------
Average File Size: 2979.5885747126435 KB
